IP,SLOT,PORT,VLAN,ID_PORT
172.28.114.56,1,0,"2806, 1257",12090121-75277615
172.28.114.56,1,1,"2806, 1257",12090121-75277616
172.28.114.56,1,2,"2806, 1257",12090121-75277617
172.28.114.56,1,3,"2806, 1257",12090121-75277618
172.28.114.56,1,4,"2806, 1257",12090121-75277619
172.28.114.56,1,5,"2806, 1257",12090121-75277620
172.28.114.56,1,6,"2806, 1257",12090121-75277621
172.28.114.56,1,7,"2806, 1257",12090121-75277622
172.28.114.56,1,8,"2806, 1257",12090121-75277623
172.28.114.56,1,9,"2806, 1257",12090121-75277624
172.28.114.56,1,10,"2806, 1257",12090121-75277625
172.28.114.56,1,11,"2806, 1257",12090121-75277626
172.28.114.56,1,12,"2806, 1257",12090121-75277627
172.28.114.56,1,13,"2806, 1257",12090121-75277628
172.28.114.56,1,14,"2806, 1257",12090121-75277629
172.28.114.56,1,15,"2806, 1257",12090121-75277630
172.28.114.56,3,0,"2806, 1257",12090123-75277679
172.28.114.56,3,1,"2806, 1257",12090123-75277680
172.28.114.56,3,2,"2806, 1257",12090123-75277681
172.28.114.56,3,3,"2806, 1257",12090123-75277682
172.28.114.56,3,4,"2806, 1257",12090123-75277683
172.28.114.56,3,5,"2806, 1257",12090123-75277684
172.28.114.56,3,6,"2806, 1257",12090123-75277685
172.28.114.56,3,7,"2806, 1257",12090123-75277686
172.28.114.56,3,8,"2806, 1257",12090123-75277687
172.28.114.56,3,9,"2806, 1257",12090123-75277688
172.28.114.56,3,10,"2806, 1257",12090123-75277689
172.28.114.56,3,11,"2806, 1257",12090123-75277690
172.28.114.56,3,12,"2806, 1257",12090123-75277691
172.28.114.56,3,13,"2806, 1257",12090123-75277692
172.28.114.56,3,14,"2806, 1257",12090123-75277693
172.28.114.56,3,15,"2806, 1257",12090123-75277694
172.28.114.56,4,0,"2806, 1257",12090124-75277695
172.28.114.56,4,1,"2806, 1257",12090124-75277696
172.28.114.56,4,2,"2806, 1257",12090124-75277697
172.28.114.56,4,3,"2806, 1257",12090124-75277698
172.28.114.56,4,4,"2806, 1257",12090124-75277699
172.28.114.56,4,5,"2806, 1257",12090124-75277700
172.28.114.56,4,6,"2806, 1257",12090124-75277701
172.28.114.56,4,7,"2806, 1257",12090124-75277702
172.28.114.56,4,8,"2806, 1257",12090124-75277703
172.28.114.56,4,9,"2806, 1257",12090124-75277704
172.28.114.56,4,10,"2806, 1257",12090124-75277705
172.28.114.56,4,11,"2806, 1257",12090124-75277706
172.28.114.56,4,12,"2806, 1257",12090124-75277707
172.28.114.56,4,13,"2806, 1257",12090124-75277708
172.28.114.56,4,14,"2806, 1257",12090124-75277709
172.28.114.56,4,15,"2806, 1257",12090124-75277710
172.28.114.56,5,0,"2806, 1257",12090125-75277711
172.28.114.56,5,1,"2806, 1257",12090125-75277712
172.28.114.56,5,2,"2806, 1257",12090125-75277713
172.28.114.56,5,3,"2806, 1257",12090125-75277714
172.28.114.56,5,4,"2806, 1257",12090125-75277715
172.28.114.56,5,5,"2806, 1257",12090125-75277716
172.28.114.56,5,6,"2806, 1257",12090125-75277717
172.28.114.56,5,7,"2806, 1257",12090125-75277718
172.28.114.56,5,8,"2806, 1257",12090125-75277719
172.28.114.56,5,9,"2806, 1257",12090125-75277720
172.28.114.56,5,10,"2806, 1257",12090125-75277721
172.28.114.56,5,11,"2806, 1257",12090125-75277722
172.28.114.56,5,12,"2806, 1257",12090125-75277723
172.28.114.56,5,13,"2806, 1257",12090125-75277724
172.28.114.56,5,14,"2806, 1257",12090125-75277725
172.28.114.56,5,15,"2806, 1257",12090125-75277726
172.28.114.56,6,0,"2806, 1257",12090126-75277727
172.28.114.56,6,1,"2806, 1257",12090126-75277728
172.28.114.56,6,2,"2806, 1257",12090126-75277729
172.28.114.56,6,3,"2806, 1257",12090126-75277730
172.28.114.56,6,4,"2806, 1257",12090126-75277731
172.28.114.56,6,5,"2806, 1257",12090126-75277732
172.28.114.56,6,6,"2806, 1257",12090126-75277733
172.28.114.56,6,7,"2806, 1257",12090126-75277734
172.28.114.56,6,8,"2806, 1257",12090126-75277735
172.28.114.56,6,9,"2806, 1257",12090126-75277736
172.28.114.56,6,10,"2806, 1257",12090126-75277737
172.28.114.56,6,11,"2806, 1257",12090126-75277738
172.28.114.56,6,12,"2806, 1257",12090126-75277739
172.28.114.56,6,13,"2806, 1257",12090126-75277740
172.28.114.56,6,14,"2806, 1257",12090126-75277741
172.28.114.56,6,15,"2806, 1257",12090126-75277742
172.28.114.56,7,0,"2806, 1257",12090127-75277743
172.28.114.56,7,1,"2806, 1257",12090127-75277744
172.28.114.56,7,2,"2806, 1257",12090127-75277745
172.28.114.56,7,3,"2806, 1257",12090127-75277746
172.28.114.56,7,4,"2806, 1257",12090127-75277747
172.28.114.56,7,5,"2806, 1257",12090127-75277748
172.28.114.56,7,6,"2806, 1257",12090127-75277749
172.28.114.56,7,7,"2806, 1257",12090127-75277750
172.28.114.56,7,8,"2806, 1257",12090127-75277751
172.28.114.56,7,9,"2806, 1257",12090127-75277752
172.28.114.56,7,10,"2806, 1257",12090127-75277753
172.28.114.56,7,11,"2806, 1257",12090127-75277754
172.28.114.56,7,12,"2806, 1257",12090127-75277755
172.28.114.56,7,13,"2806, 1257",12090127-75277756
172.28.114.56,7,14,"2806, 1257",12090127-75277757
172.28.114.56,7,15,"2806, 1257",12090127-75277758
172.28.114.56,8,0,"2806, 1257",12090128-75277759
172.28.114.56,8,1,"2806, 1257",12090128-75277760
172.28.114.56,8,2,"2806, 1257",12090128-75277761
172.28.114.56,8,3,"2806, 1257",12090128-75277762
172.28.114.56,8,4,"2806, 1257",12090128-75277763
172.28.114.56,8,5,"2806, 1257",12090128-75277764
172.28.114.56,8,6,"2806, 1257",12090128-75277765
172.28.114.56,8,7,"2806, 1257",12090128-75277766
172.28.114.56,8,8,"2806, 1257",12090128-75277767
172.28.114.56,8,9,"2806, 1257",12090128-75277768
172.28.114.56,8,10,"2806, 1257",12090128-75277769
172.28.114.56,8,11,"2806, 1257",12090128-75277770
172.28.114.56,8,12,"2806, 1257",12090128-75277771
172.28.114.56,8,13,"2806, 1257",12090128-75277772
172.28.114.56,8,14,"2806, 1257",12090128-75277773
172.28.114.56,8,15,"2806, 1257",12090128-75277774
172.28.114.56,11,0,"2806, 1257",28129556-226532281
172.28.114.56,11,1,"2806, 1257",28129556-226532282
172.28.114.56,11,2,"2806, 1257",28129556-226532283
172.28.114.56,11,3,"2806, 1257",28129556-226532284
172.28.114.56,11,4,"2806, 1257",28129556-226532285
172.28.114.56,11,5,"2806, 1257",28129556-226532286
172.28.114.56,11,6,"2806, 1257",28129556-226532287
172.28.114.56,11,7,"2806, 1257",28129556-226532288
172.28.114.56,11,8,"2806, 1257",28129556-226532289
172.28.114.56,11,9,"2806, 1257",28129556-226532290
172.28.114.56,11,10,"2806, 1257",28129556-226532291
172.28.114.56,11,11,"2806, 1257",28129556-226532292
172.28.114.56,11,12,"2806, 1257",28129556-226532293
172.28.114.56,11,13,"2806, 1257",28129556-226532294
172.28.114.56,11,14,"2806, 1257",28129556-226532295
172.28.114.56,11,15,"2806, 1257",28129556-226532296
172.28.114.56,12,0,"2806, 1257",34652698-245952739
172.28.114.56,12,1,"2806, 1257",34652698-245952740
172.28.114.56,12,2,"2806, 1257",34652698-245952741
172.28.114.56,12,3,"2806, 1257",34652698-245952742
172.28.114.56,12,4,"2806, 1257",34652698-245952743
172.28.114.56,12,5,"2806, 1257",34652698-245952744
172.28.114.56,12,6,"2806, 1257",34652698-245952745
172.28.114.56,12,7,"2806, 1257",34652698-245952746
172.28.114.56,12,8,"2806, 1257",34652698-245952747
172.28.114.56,12,9,"2806, 1257",34652698-245952748
172.28.114.56,12,10,"2806, 1257",34652698-245952749
172.28.114.56,12,11,"2806, 1257",34652698-245952750
172.28.114.56,12,12,"2806, 1257",34652698-245952751
172.28.114.56,12,13,"2806, 1257",34652698-245952752
172.28.114.56,12,14,"2806, 1257",34652698-245952753
172.28.114.56,12,15,"2806, 1257",34652698-245952754
172.28.114.56,13,0,"2806, 1257",34652697-245952699
172.28.114.56,13,1,"2806, 1257",34652697-245952700
172.28.114.56,13,2,"2806, 1257",34652697-245952701
172.28.114.56,13,3,"2806, 1257",34652697-245952702
172.28.114.56,13,4,"2806, 1257",34652697-245952703
172.28.114.56,13,5,"2806, 1257",34652697-245952704
172.28.114.56,13,6,"2806, 1257",34652697-245952705
172.28.114.56,13,7,"2806, 1257",34652697-245952706
172.28.114.56,13,8,"2806, 1257",34652697-245952707
172.28.114.56,13,9,"2806, 1257",34652697-245952708
172.28.114.56,13,10,"2806, 1257",34652697-245952709
172.28.114.56,13,11,"2806, 1257",34652697-245952710
172.28.114.56,13,12,"2806, 1257",34652697-245952711
172.28.114.56,13,13,"2806, 1257",34652697-245952712
172.28.114.56,13,14,"2806, 1257",34652697-245952713
172.28.114.56,13,15,"2806, 1257",34652697-245952714
172.28.114.56,14,0,"2806, 1257",43128240-253644632
172.28.114.56,14,1,"2806, 1257",43128240-253596433
172.28.114.56,14,2,"2806, 1257",43128240-253644633
172.28.114.56,14,3,"2806, 1257",43128240-253596434
172.28.114.56,14,4,"2806, 1257",43128240-253644634
172.28.114.56,14,5,"2806, 1257",43128240-253596435
172.28.114.56,14,6,"2806, 1257",43128240-253644635
172.28.114.56,14,7,"2806, 1257",43128240-253596436
172.28.114.56,14,8,"2806, 1257",43128240-253644636
172.28.114.56,14,9,"2806, 1257",43128240-253596437
172.28.114.56,14,10,"2806, 1257",43128240-253644637
172.28.114.56,14,11,"2806, 1257",43128240-253596438
172.28.114.56,14,12,"2806, 1257",43128240-253644638
172.28.114.56,14,13,"2806, 1257",43128240-253596439
172.28.114.56,14,14,"2806, 1257",43128240-253644639
172.28.114.56,14,15,"2806, 1257",43128240-253596440
172.28.114.56,15,0,"2806, 1257",132603304-522280599
172.28.114.56,15,1,"2806, 1257",132603304-522258402
172.28.114.56,15,2,"2806, 1257",132603304-522280600
172.28.114.56,15,3,"2806, 1257",132603304-522258403
172.28.114.56,15,4,"2806, 1257",132603304-522280601
172.28.114.56,15,5,"2806, 1257",132603304-522258404
172.28.114.56,15,6,"2806, 1257",132603304-522280602
172.28.114.56,15,7,"2806, 1257",132603304-522258405
172.28.114.56,15,8,"2806, 1257",132603304-522280603
172.28.114.56,15,9,"2806, 1257",132603304-522258406
172.28.114.56,15,10,"2806, 1257",132603304-522280604
172.28.114.56,15,11,"2806, 1257",132603304-522258408
172.28.114.56,15,12,"2806, 1257",132603304-522280605
172.28.114.56,15,13,"2806, 1257",132603304-522258409
172.28.114.56,15,14,"2806, 1257",132603304-522280606
172.28.114.56,15,15,"2806, 1257",132603304-522258411
172.28.114.56,2,0,"2806, 1257",602703354-2139383824
172.28.114.56,2,1,"2806, 1257",602703354-2139287473
172.28.114.56,2,2,"2806, 1257",602703354-2139383825
172.28.114.56,2,3,"2806, 1257",602703354-2139287474
172.28.114.56,2,4,"2806, 1257",602703354-2139383826
172.28.114.56,2,5,"2806, 1257",602703354-2139287475
172.28.114.56,2,6,"2806, 1257",602703354-2139383827
172.28.114.56,2,7,"2806, 1257",602703354-2139287476
172.28.114.56,2,8,"2806, 1257",602703354-2139383828
172.28.114.56,2,9,"2806, 1257",602703354-2139287477
172.28.114.56,2,10,"2806, 1257",602703354-2139383829
172.28.114.56,2,11,"2806, 1257",602703354-2139287478
172.28.114.56,2,12,"2806, 1257",602703354-2139383830
172.28.114.56,2,13,"2806, 1257",602703354-2139287479
172.28.114.56,2,14,"2806, 1257",602703354-2139383831
172.28.114.56,2,15,"2806, 1257",602703354-2139287480
172.28.114.200,1,0,"2804, 537",12089901-75274714
172.28.114.200,1,1,"2804, 537",12089901-75274715
172.28.114.200,1,2,"2804, 537",12089901-75274716
172.28.114.200,1,3,"2804, 537",12089901-75274717
172.28.114.200,1,4,"2804, 537",12089901-75274718
172.28.114.200,1,5,"2804, 537",12089901-75274719
172.28.114.200,1,6,"2804, 537",12089901-75274720
172.28.114.200,1,7,"2804, 537",12089901-75274721
172.28.114.200,1,8,"2804, 537",12089901-75274722
172.28.114.200,1,9,"2804, 537",12089901-75274723
172.28.114.200,1,10,"2804, 537",12089901-75274724
172.28.114.200,1,11,"2804, 537",12089901-75274725
172.28.114.200,1,12,"2804, 537",12089901-75274726
172.28.114.200,1,13,"2804, 537",12089901-75274727
172.28.114.200,1,14,"2804, 537",12089901-75274728
172.28.114.200,1,15,"2804, 537",12089901-75274729
172.28.114.200,2,0,"2804, 537",12089915-75326068
172.28.114.200,2,1,"2804, 537",12089915-75274937
172.28.114.200,2,2,"2804, 537",12089915-75326069
172.28.114.200,2,3,"2804, 537",12089915-75274938
172.28.114.200,2,4,"2804, 537",12089915-75326070
172.28.114.200,2,5,"2804, 537",12089915-75274939
172.28.114.200,2,6,"2804, 537",12089915-75326071
172.28.114.200,2,7,"2804, 537",12089915-75274940
172.28.114.200,2,8,"2804, 537",12089915-75326072
172.28.114.200,2,9,"2804, 537",12089915-75274941
172.28.114.200,2,10,"2804, 537",12089915-75326073
172.28.114.200,2,11,"2804, 537",12089915-75274942
172.28.114.200,2,12,"2804, 537",12089915-75326074
172.28.114.200,2,13,"2804, 537",12089915-75274943
172.28.114.200,2,14,"2804, 537",12089915-75326075
172.28.114.200,2,15,"2804, 537",12089915-75274944
172.28.114.200,3,0,"2804, 537",12089922-75275049
172.28.114.200,3,1,"2804, 537",12089922-75326180
172.28.114.200,3,2,"2804, 537",12089922-75275050
172.28.114.200,3,3,"2804, 537",12089922-75326181
172.28.114.200,3,4,"2804, 537",12089922-75275051
